Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkout,Chrome 115.0.0.0,,,2023-08-10 03:58:55,2023-08-10 04:50:00,51m - 5.437s,FAILED
,,,,,,,
Test Cases/Checkout/TS_SMOKE_SUITE_072,Chrome 115.0.0.0,To verify the functionality of adding a new Personal shipping address in OPC flow for logged in user,,2023-08-10 03:58:55,2023-08-10 04:01:56,3m - 0.254s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-10 03:58:56,2023-08-10 03:58:59,3.131s,PASSED
navigateToUrl(LiverpoolURL),Chrome 115.0.0.0,,,2023-08-10 03:58:59,2023-08-10 03:59:41,41.606s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 03:59:41,2023-08-10 03:59:41,0.230s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-10 03:59:41,2023-08-10 03:59:43,1.813s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":username, ""password"":password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 03:59:43,2023-08-10 04:00:08,25.494s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SLSearchTerm], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 04:00:08,2023-08-10 04:00:57,49.182s,PASSED
"click(findTestObject(""HomePage/FirstProduct_plp""))",Chrome 115.0.0.0,,,2023-08-10 04:00:57,2023-08-10 04:01:15,17.096s,PASSED
"click(findTestObject(""PDPPage/AddToCart_pdp""))",Chrome 115.0.0.0,,,2023-08-10 04:01:15,2023-08-10 04:01:24,9.664s,PASSED
"click(findTestObject(""PLPPage/ProtectYourPurchase_plp""))",Chrome 115.0.0.0,,,2023-08-10 04:01:24,2023-08-10 04:01:56,31.456s,FAILED
,,,,,,,
Test Cases/Checkout/TS_SMOKE_SUITE_073,Chrome 115.0.0.0,To verify the functionality of editing the Personal shipping address  in checkout flow for logged in user,,2023-08-10 04:01:56,2023-08-10 04:08:04,6m - 7.933s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-10 04:01:56,2023-08-10 04:01:58,2.242s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-10 04:01:58,2023-08-10 04:02:45,47.166s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 04:02:45,2023-08-10 04:02:46,0.206s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-10 04:02:46,2023-08-10 04:02:47,1.038s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":Username, ""password"":Password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 04:02:47,2023-08-10 04:03:13,26.546s,PASSED
"callTestCase(findTestCase(""CommonMethods/EmptyCart_RunAt_HP""), [:], OPTIONAL)",Chrome 115.0.0.0,,,2023-08-10 04:03:13,2023-08-10 04:04:10,57.370s,PASSED
"click(findTestObject(""HomePage/Logo_hp""))",Chrome 115.0.0.0,,,2023-08-10 04:04:10,2023-08-10 04:04:31,20.730s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SLProduct], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 04:04:31,2023-08-10 04:04:42,10.844s,PASSED
"click(findTestObject(""PLPPage/product1_PLP""), OPTIONAL)",Chrome 115.0.0.0,,,2023-08-10 04:04:42,2023-08-10 04:07:00,2m - 18.182s,PASSED
"click(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 115.0.0.0,,,2023-08-10 04:07:00,2023-08-10 04:07:03,2.668s,PASSED
"click(findTestObject(""HomePage/bag_header_HP""))",Chrome 115.0.0.0,,,2023-08-10 04:07:03,2023-08-10 04:07:08,5.357s,PASSED
"click(findTestObject(""CartPage/BuyButton_Cart""))",Chrome 115.0.0.0,,,2023-08-10 04:07:08,2023-08-10 04:07:11,2.963s,PASSED
"click(findTestObject(""OPCPage/ChangeAddress_Checkout""))",Chrome 115.0.0.0,,,2023-08-10 04:07:11,2023-08-10 04:07:22,10.290s,PASSED
"click(findTestObject(""OPCPage/3DotButton2_Checkout""))",Chrome 115.0.0.0,,,2023-08-10 04:07:22,2023-08-10 04:07:24,2.475s,PASSED
"click(findTestObject(""OPCPage/EditAddress_Checkout""))",Chrome 115.0.0.0,,,2023-08-10 04:07:24,2023-08-10 04:07:24,0.460s,PASSED
"setText(findTestObject(""OPCPage/shortName_addAddress_opc""), ShortName)",Chrome 115.0.0.0,,,2023-08-10 04:07:24,2023-08-10 04:07:28,3.609s,PASSED
"click(findTestObject(""OPCPage/ContinueButtonAddAddress_Checkout""))",Chrome 115.0.0.0,,,2023-08-10 04:07:28,2023-08-10 04:07:29,0.423s,PASSED
"click(findTestObject(""HomePage/Logo_hp""))",Chrome 115.0.0.0,,,2023-08-10 04:07:29,2023-08-10 04:08:04,35.082s,FAILED
,,,,,,,
Test Cases/Checkout/TS_SMOKE_SUITE_076,Chrome 115.0.0.0,To verify the display of payment page for the for logged in user,,2023-08-10 04:08:04,2023-08-10 04:11:42,3m - 38.184s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-10 04:08:04,2023-08-10 04:08:06,2.312s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-10 04:08:06,2023-08-10 04:08:49,42.391s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 04:08:49,2023-08-10 04:08:49,0.208s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-10 04:08:49,2023-08-10 04:08:50,1.015s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":Username, ""password"":Password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 04:08:50,2023-08-10 04:09:18,28.555s,PASSED
"callTestCase(findTestCase(""CommonMethods/EmptyCart_RunAt_HP""), [:], OPTIONAL)",Chrome 115.0.0.0,,,2023-08-10 04:09:18,2023-08-10 04:10:01,42.451s,PASSED
"click(findTestObject(""HomePage/Logo_hp""))",Chrome 115.0.0.0,,,2023-08-10 04:10:01,2023-08-10 04:10:02,1.271s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SLProduct], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 04:10:02,2023-08-10 04:10:09,7.250s,PASSED
"click(findTestObject(""PLPPage/product1_PLP""), OPTIONAL)",Chrome 115.0.0.0,,,2023-08-10 04:10:09,2023-08-10 04:10:42,32.360s,PASSED
"click(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 115.0.0.0,,,2023-08-10 04:10:42,2023-08-10 04:10:45,3.446s,PASSED
"click(findTestObject(""HomePage/bag_header_HP""))",Chrome 115.0.0.0,,,2023-08-10 04:10:45,2023-08-10 04:10:53,7.758s,PASSED
"click(findTestObject(""CartPage/BuyButton_Cart""))",Chrome 115.0.0.0,,,2023-08-10 04:10:53,2023-08-10 04:10:56,2.820s,PASSED
"callTestCase(findTestCase(""CommonMethods/assert_OPC(CheckoutPage)""), [:], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 04:10:56,2023-08-10 04:11:42,46.045s,FAILED
,,,,,,,
Test Cases/Checkout/TS_SMOKE_SUITE_077,Chrome 115.0.0.0,To verify the functionality of new  adding card  in checkout flow for logged in user,,2023-08-10 04:11:42,2023-08-10 04:16:59,5m - 17.523s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-10 04:11:42,2023-08-10 04:11:44,2.197s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-10 04:11:44,2023-08-10 04:12:28,43.427s,PASSED
"navigateToUrl(""https://www.liverpool.com.mx/tienda/home"")",Chrome 115.0.0.0,,,2023-08-10 04:12:28,2023-08-10 04:12:28,0.001s,NOT_RUN
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-10 04:12:28,2023-08-10 04:12:28,0.195s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""))",Chrome 115.0.0.0,,,2023-08-10 04:12:28,2023-08-10 04:12:29,1.010s,PASSED
"callTestCase(findTestCase(""CommonMethods/loginFromHomePage""), [""username"":Username, ""password"":Password], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 04:12:29,2023-08-10 04:13:06,36.632s,PASSED
"callTestCase(findTestCase(""CommonMethods/EmptyCart_RunAt_HP""), [:], OPTIONAL)",Chrome 115.0.0.0,,,2023-08-10 04:13:06,2023-08-10 04:13:47,41.940s,PASSED
"click(findTestObject(""HomePage/Logo_hp""))",Chrome 115.0.0.0,,,2023-08-10 04:13:47,2023-08-10 04:13:48,0.699s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":SLProduct], STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-10 04:13:48,2023-08-10 04:13:55,7.109s,PASSED
"click(findTestObject(""PLPPage/product1_PLP""), OPTIONAL)",Chrome 115.0.0.0,,,2023-08-10 04:13:55,2023-08-10 04:16:21,2m - 25.529s,PASSED
"click(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 115.0.0.0,,,2023-08-10 04:16:21,2023-08-10 04:16:23,2.592s,PASSED
