Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HomePage,Chrome 107.0.0.0,,,2023-08-10 16:54:11,2023-08-10 17:11:58,17m - 46.561s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_001,Chrome 107.0.0.0,To Verify that user is able to the access the site by typing Redesign URL in the browse.,,2023-08-10 16:54:14,2023-08-10 16:55:24,1m - 10.843s,FAILED
"openBrowser("""")",Chrome 107.0.0.0,,,2023-08-10 16:54:16,2023-08-10 16:54:29,13.133s,PASSED
navigateToUrl(url),Chrome 107.0.0.0,,,2023-08-10 16:54:29,2023-08-10 16:54:50,20.556s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 107.0.0.0,,,2023-08-10 16:54:50,2023-08-10 16:55:24,34.802s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_002,Chrome 107.0.0.0,"To verify  that system display the following link in the header
1.Departmentos
2.Marcas
3.Credito
4.Mesa de regalosa 
5.Search text box
6.Iniciar sesion
7.Ubica tu tienda 
8.Mis pedidos
9.Ayuda",,2023-08-10 16:55:25,2023-08-10 16:56:34,1m - 9.483s,FAILED
"openBrowser("""")",Chrome 107.0.0.0,,,2023-08-10 16:55:29,2023-08-10 16:55:55,25.764s,PASSED
navigateToUrl(url),Chrome 107.0.0.0,,,2023-08-10 16:55:55,2023-08-10 16:56:00,5.328s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 107.0.0.0,,,2023-08-10 16:56:00,2023-08-10 16:56:34,33.681s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_003,Chrome 107.0.0.0,To verify the display of L1 category flyout on mouse hover the Departmentos link,,2023-08-10 16:56:34,2023-08-10 16:57:32,58.158s,FAILED
"openBrowser("""")",Chrome 107.0.0.0,,,2023-08-10 16:56:35,2023-08-10 16:56:48,12.637s,PASSED
navigateToUrl(url),Chrome 107.0.0.0,,,2023-08-10 16:56:48,2023-08-10 16:56:55,6.960s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 107.0.0.0,,,2023-08-10 16:56:55,2023-08-10 16:57:32,37.077s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_006,Chrome 107.0.0.0,"To verify that the user is navigated to  â€œMesa de Regalos"" page by clicking on the  â€œMesa de Regalos"" link on the header section.",,2023-08-10 16:57:32,2023-08-10 16:59:05,1m - 32.454s,FAILED
"openBrowser("""")",Chrome 107.0.0.0,,,2023-08-10 16:57:34,2023-08-10 16:58:10,36.280s,PASSED
navigateToUrl(url),Chrome 107.0.0.0,,,2023-08-10 16:58:10,2023-08-10 16:58:17,6.741s,PASSED
"verifyElementClickable(findTestObject(""HomePage/Mesa de regalos_HP""))",Chrome 107.0.0.0,,,2023-08-10 16:58:17,2023-08-10 16:59:05,47.942s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_007,Chrome 107.0.0.0,To verify the display of Login overlay when Anonymous user click on  Iniciar sesion link,,2023-08-10 16:59:05,2023-08-10 17:00:09,1m - 4.679s,FAILED
"openBrowser("""")",Chrome 107.0.0.0,,,2023-08-10 16:59:06,2023-08-10 16:59:29,23.136s,PASSED
navigateToUrl(url),Chrome 107.0.0.0,,,2023-08-10 16:59:29,2023-08-10 16:59:35,5.313s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2023-08-10 16:59:35,2023-08-10 17:00:09,34.650s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_008,Chrome 107.0.0.0,"To verify that the user is navigated to  ""Tiendas""( Store locator) page by clicking on the  â€œUbica tu tienda "" link on the header section.",,2023-08-10 17:00:09,2023-08-10 17:01:29,1m - 19.900s,FAILED
"openBrowser("""")",Chrome 107.0.0.0,,,2023-08-10 17:00:11,2023-08-10 17:00:35,24.087s,PASSED
navigateToUrl(url),Chrome 107.0.0.0,,,2023-08-10 17:00:35,2023-08-10 17:00:41,5.811s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2023-08-10 17:00:41,2023-08-10 17:00:47,6.407s,PASSED
"click(findTestObject(""HomePage/Tiendas_HP""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2023-08-10 17:00:47,2023-08-10 17:01:29,41.777s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_009,Chrome 107.0.0.0,"To verify that an Anonymous user is navigated to Login page by clicking on the  â€œMis pedidos"" link on the header section.",,2023-08-10 17:01:29,2023-08-10 17:03:00,1m - 31.228s,FAILED
"openBrowser("""")",Chrome 107.0.0.0,,,2023-08-10 17:01:30,2023-08-10 17:02:07,36.584s,PASSED
navigateToUrl(url),Chrome 107.0.0.0,,,2023-08-10 17:02:07,2023-08-10 17:02:18,10.912s,PASSED
"click(findTestObject(""HomePage/Mis Compras_hp""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2023-08-10 17:02:18,2023-08-10 17:03:00,42.511s,FAILED
,,,,,,,
Test Cases/HomePage/TS_SMOKE_SUITE_010,Chrome 107.0.0.0,"To verify that the logged in user is navigated to  â€œMis pedidos"" page by clicking on the  â€œMis pedidos"" link on the header section.",,2023-08-10 17:03:00,2023-08-10 17:04:57,1m - 56.017s,FAILED
"openBrowser("""")",Chrome 107.0.0.0,,,2023-08-10 17:03:02,2023-08-10 17:03:25,22.851s,PASSED
navigateToUrl(url),Chrome 107.0.0.0,,,2023-08-10 17:03:25,2023-08-10 17:03:33,7.666s,PASSED
